,Date,Close,name
726,2017-11-17,17.358,stribro
727,2017-11-20,16.827,stribro
728,2017-11-21,16.948999,stribro
729,2017-11-22,17.101,stribro
730,2017-11-24,,stribro
731,2017-11-27,17.009001,stribro
732,2017-11-28,16.811001,stribro
733,2017-11-29,16.457001,stribro
734,2017-11-30,16.382,stribro
735,2017-12-01,16.297001,stribro
736,2017-12-04,16.284,stribro
737,2017-12-05,15.973,stribro
738,2017-12-06,15.868,stribro
739,2017-12-07,15.715,stribro
740,2017-12-08,15.736,stribro
741,2017-12-11,15.697,stribro
742,2017-12-12,15.582,stribro
743,2017-12-13,15.784,stribro
744,2017-12-14,15.85,stribro
745,2017-12-15,15.978,stribro
746,2017-12-18,16.120001000000002,stribro
747,2017-12-19,16.066,stribro
748,2017-12-20,16.188,stribro
749,2017-12-21,16.152,stribro
750,2017-12-22,16.357,stribro
751,2017-12-26,16.52,stribro
752,2017-12-27,16.618999,stribro
753,2017-12-28,16.832001,stribro
754,2017-12-29,17.059998999999998,stribro
755,2018-01-02,17.121,stribro
756,2018-01-03,17.184998999999998,stribro
757,2018-01-04,17.188999,stribro
758,2018-01-05,17.205,stribro
759,2018-01-08,17.063999,stribro
760,2018-01-09,16.936001,stribro
761,2018-01-10,16.962999,stribro
762,2018-01-11,16.893998999999997,stribro
763,2018-01-12,17.069,stribro
764,2018-01-16,17.122,stribro
765,2018-01-17,17.105,stribro
766,2018-01-18,16.893,stribro
767,2018-01-19,16.975,stribro
768,2018-01-22,16.931,stribro
769,2018-01-23,16.855,stribro
770,2018-01-24,17.424999,stribro
771,2018-01-25,17.551001,stribro
772,2018-01-26,17.382,stribro
773,2018-01-29,,stribro
774,2018-01-30,17.013,stribro
775,2018-01-31,17.204,stribro
776,2018-02-01,17.118,stribro
777,2018-02-02,16.676001,stribro
778,2018-02-05,16.639,stribro
779,2018-02-06,16.548,stribro
780,2018-02-07,16.205999,stribro
781,2018-02-08,16.313999,stribro
782,2018-02-09,16.115999,stribro
783,2018-02-12,16.548,stribro
784,2018-02-13,16.507,stribro
785,2018-02-14,16.858,stribro
786,2018-02-15,16.777,stribro
787,2018-02-16,16.695,stribro
788,2018-02-20,16.424999,stribro
789,2018-02-21,16.604,stribro
790,2018-02-22,16.579,stribro
791,2018-02-23,16.476,stribro
792,2018-02-26,16.542,stribro
